n,L,iteration,method,lambda,rank,sp.corr,sp.pval,evar_tr,evar_va,evar,mse
10500,30,4,ICD,1.0000000000000001e-05,3,0.29739949018518469,1.1856758897181011e-102,0.10888660022155595,0.10150406191623086,0.09254646802463834,0.46944640376341756
10500,30,4,ICD,0.0001,3,0.29739939634441015,1.185857707226614e-102,0.10888660022152731,0.10150406469705564,0.09254646340196572,0.46944640615483152
10500,30,4,ICD,0.001,3,0.29739937239221248,1.1859041193220642e-102,0.10888660021865879,0.10150409250271489,0.092546417173818632,0.4694464300697061
10500,30,4,ICD,0.01,3,0.29739533459888529,1.1937540948506613e-102,0.10888659993188379,0.10150437030014914,0.092545954750381493,0.46944666929189427
10500,30,4,ICD,0.10000000000000001,3,0.29737888975915255,1.2262639882951506e-102,0.10888657131456671,0.10150712241558493,0.092541316359264103,0.46944906883738347
10500,30,4,ICD,1.0,3,0.29721128965581189,1.6123808263247299e-102,0.10888376873185016,0.10153211348917539,0.092493555924765838,0.46947377639917848
10500,30,4,ICD,10.0,3,0.29519955081128613,4.2485407923560039e-101,0.10865382354118033,0.10157655167958292,0.091911213201570446,0.46977503556841305
10500,30,5,Mklaren,0,3,0.48339826999317259,3.2928966563293494e-291,0.28229351904464078,0.19935261114041217,0.2449860053036006,0.40701059164558268
10500,30,5,Mklaren,1.0000000000000001e-05,3,0.48339826999317259,3.2928966563293494e-291,0.28229351903344557,0.19935337087376287,0.24498654705221448,0.40701029960142798
10500,30,5,Mklaren,0.0001,3,0.48339826999317259,3.2928966563293494e-291,0.28229351792540675,0.19936020634218668,0.24499142124064824,0.40700767203911503
10500,30,5,Mklaren,0.001,3,0.48339218397180267,3.3567311149841768e-291,0.282293407403575,0.19942835057308361,0.24504001016300148,0.4069814788742554
10500,30,5,Mklaren,0.01,3,0.48171557061418635,6.5557972620237866e-289,0.27598818467303377,0.19750971073278395,0.24453104192695288,0.40725585188500502
10500,30,5,Mklaren,0.10000000000000001,3,0.4830601314114778,9.5632546065628146e-291,0.2755317407155628,0.20383239449346291,0.24760175187399591,0.40560050313505169
10500,30,5,Mklaren,1.0,3,0.43969536297736783,1.7352743426908278e-235,0.20639882612335506,0.17913154301380638,0.20207170097958466,0.43014470110007014
10500,30,5,Mklaren,10.0,3,0.44000709536243576,7.4138397539462473e-236,0.085986727768918039,0.083118728406263359,0.095136796613581945,0.48779083613770208
10500,30,5,CSI,0,3,0.42293803124087925,3.4082978080453032e-216,0.18924583913491461,0.17441862607572586,0.18335849398232182,0.44023255841800618
10500,30,5,CSI,1.0000000000000001e-05,3,0.42293803124087925,3.4082978080453032e-216,0.18924583913491461,0.17441862690526622,0.18335849460210246,0.44023255808389677
10500,30,5,CSI,0.0001,3,0.42293803124087925,3.4082978080453032e-216,0.18924583913490442,0.17441863437111718,0.1833585001801159,0.44023255507691866
10500,30,5,CSI,0.001,3,0.42293803124087925,3.4082978080453032e-216,0.18924583913386436,0.17441870902846596,0.18335855595913636,0.44023252500773813
10500,30,5,CSI,0.01,3,0.42293777727067688,3.4105289365485059e-216,0.18924583902989262,0.1744194554858185,0.18335911363791585,0.4402322243759994
10500,30,5,CSI,0.10000000000000001,3,0.42294131240533217,3.379603502982279e-216,0.18924582864009754,0.17442690845360664,0.18336467929097658,0.44022922406108994
10500,30,5,CSI,1.0,3,0.42288704918278375,3.8867240558245799e-216,0.1892447969800842,0.17450028529466483,0.18341923008964264,0.44019981698652472
10500,30,5,CSI,10.0,3,0.42251479745876969,1.0134787927819153e-215,0.18914852601187329,0.17512608136794416,0.18386147180340187,0.43996141470149175
10500,30,5,Nystrom,0,3,0.3694878259447722,1.5040135166090511e-161,0.1318589378395624,0.13055687246781358,0.14090004770192263,0.4631209253387894
10500,30,5,Nystrom,1.0000000000000001e-05,3,0.40501053327465991,9.875684537379681e-197,0.17583954895875603,0.17125839435174861,0.16892565740905127,0.44801296698536391
10500,30,5,Nystrom,0.0001,3,0.48795082877522938,1.708379544834669e-297,0.25378822947344915,0.20749470766198971,0.24601818136428669,0.40645416939103735
10500,30,5,Nystrom,0.001,3,0.3452190262215622,6.1876878392108745e-140,0.10441040029512984,0.12084384141399762,0.12323787613705757,0.47264219375084338
10500,30,5,Nystrom,0.01,3,0.28382512213035588,2.8011720931398339e-93,0.093089385807998207,0.088451104377598469,0.079637555288625803,0.49614611885569293
10500,30,5,Nystrom,0.10000000000000001,3,0.33135373447552474,2.0265041938112317e-128,0.089304370573351721,0.10237139057179882,0.11589570298698701,0.47660018957445216
